publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
adolescent psychotherapy homework planner		9780471785378							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470043356	Jongsma	/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470043356		fulltext		Wiley	monograph	2006			2nd ed.				P
airway management in emergencies		9780071470056							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11539.0071593489	Kovacs	/ebooks/ebooks2/pda/2011-12-01/1/11539.0071593489		fulltext		McGraw-Hill Medical	monograph	2008							P
anthropology of the state: a reader		9781405114677							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11379.9781405114677		/ebooks/ebooks2/pda/2011-12-01/1/11379.9781405114677		fulltext		Blackwell Pub.	monograph	2006		9		Sharma			P
applied spatial statistics for public health data	9780471387718								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9292.0471662674	Waller	/ebooks/ebooks2/pda/2011-12-01/1/9292.0471662674		fulltext		John Wiley & Sons	monograph	2004							P
architect's guide to feng shui: exploding the myth	9780750656061								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10618.9780750656061	Bramble	/ebooks/ebooks2/pda/2011-12-01/1/10618.9780750656061		fulltext		Architectural Press	monograph	2003							P
basic introduction to pollutant fate and transport: an integrated approach with chemistry, modeling, risk assessment, and environmental legislation		9780471651284							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471758129	Dunnivant	/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471758129		fulltext		Wiley-Interscience	monograph	2006							P
behavioral economics and its applications		9780691122847							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15281.9781400829149	Diamond	/ebooks/ebooks2/pda/2011-12-01/1/15281.9781400829149		fulltext		Princeton University Press	monograph	2007							P
blackwell companion to the sociology of culture	9780631231745								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10125.9780631231745		/ebooks/ebooks2/pda/2011-12-01/1/10125.9780631231745		fulltext		Blackwell Pub.	monograph	2005		12		Jacobs			P
body by science: a research-based program for strength training, body building, and complete fitness in 12 minutes a week		9780071597173							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12786.0071597204	McGuff	/ebooks/ebooks2/pda/2011-12-01/1/12786.0071597204		fulltext		McGraw-Hill	monograph	2009							P
cervical cancer: a guide for nurses		9780470061015							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12824.9780470988039	Dunleavey	/ebooks/ebooks2/pda/2011-12-01/1/12824.9780470988039		fulltext		Wiley-Blackwell	monograph	2009							P
