publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
201 best questions to ask on your interview									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/6252.0071387730	Kador	/ebooks/ebooks2/pda/2011-12-01/1/6252.0071387730		fulltext		McGraw-Hill	monograph	2002							P
201 killer cover letters									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7313.0071413294	Podesta	/ebooks/ebooks2/pda/2011-12-01/1/7313.0071413294		fulltext		McGraw-Hill	monograph	2003							P
adolescent psychotherapy homework planner		9780471785378							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470043356	Jongsma	/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470043356		fulltext		Wiley	monograph	2006			2nd ed.				P
advanced international trade: theory and evidence									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14371.9781400829101	Feenstra	/ebooks/ebooks2/pda/2011-12-01/1/14371.9781400829101		fulltext		Princeton University Press	monograph	2004							P
advanced modelling in finance using excel and vba									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470061664	Jackson	/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470061664		fulltext		Wiley	monograph	2001							P
advanced vehicle technology		9780750651318							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10618.9780750651318	Heisler	/ebooks/ebooks2/pda/2011-12-01/1/10618.9780750651318		fulltext		Butterworth Heinmann	monograph	2002			2nd ed.				P
aerodynamics for engineering students		9780750651110							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10618.9780750651110	Houghton	/ebooks/ebooks2/pda/2011-12-01/1/10618.9780750651110		fulltext		Butterworth-Heinemann	monograph	2003			5th ed.				P
aesthetic theory		9780485300697							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12957.9780485300697	Adorno	/ebooks/ebooks2/pda/2011-12-01/1/12957.9780485300697		fulltext		Continuum	monograph	2002							P
ageism: stereotyping and prejudice against older persons		9780262640572							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11865.9780262140775		/ebooks/ebooks2/pda/2011-12-01/1/11865.9780262140775		fulltext		MIT Press	monograph	2002				Nelson			P
airway management in emergencies		9780071470056							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11539.0071593489	Kovacs	/ebooks/ebooks2/pda/2011-12-01/1/11539.0071593489		fulltext		McGraw-Hill Medical	monograph	2008							P
algorithmic architecture		9780750667258							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9810.0750667257	Terzidis	/ebooks/ebooks2/pda/2011-12-01/1/9810.0750667257		fulltext		Architectural Press	monograph	2006			1st ed.				P
alice in wonderland and philosophy: curioser and curioser		9780470558362							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15041.9780470590249		/ebooks/ebooks2/pda/2011-12-01/1/15041.9780470590249		fulltext		J. Wiley	monograph	2010				Davis			P
alzheimer disease: the changing view		9780124019553							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10734.9780124019553	Katzman	/ebooks/ebooks2/pda/2011-12-01/1/10734.9780124019553		fulltext		Academic Press	monograph	2000							P
anatomy & physiology									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9292.0764597019	Bassett	/ebooks/ebooks2/pda/2011-12-01/1/9292.0764597019		fulltext		Wiley	monograph	2005							P
animal domestication and behavior									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7977.0851995977	Price	/ebooks/ebooks2/pda/2011-12-01/1/7977.0851995977		fulltext		CABI Pub.	monograph	2002							P
anthropology of development and globalization: from classical political economy to contemporary neoliberalism		9780631228790							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11379.9780631228790		/ebooks/ebooks2/pda/2011-12-01/1/11379.9780631228790		fulltext		Blackwell Pub.	monograph	2005		6		Edelman			P
anthropology of the state: a reader		9781405114677							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11379.9781405114677		/ebooks/ebooks2/pda/2011-12-01/1/11379.9781405114677		fulltext		Blackwell Pub.	monograph	2006		9		Sharma			P
apples: botany, production, and uses									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7977.0851995926		/ebooks/ebooks2/pda/2011-12-01/1/7977.0851995926		fulltext		CABI Pub.	monograph	2003				Ferree			P
